用户名,时间,内容,点赞量,sentiment,sentiment_class
zZzZzz丶zZzZz,2020/8/26 23:37,秦始皇最有前瞻性的是统一后统一文字货币形成统一文化 自从有了粘性,4864,0.99799023,非常积极
丶夜鸦寒毒,2020/8/27 2:33,其实也是方便管理,107,0.464285714,中立
浮生若梦jkl,2020/8/27 3:25,回复 @丶夜鸦寒毒 :回复 @丶夜鸦寒毒 :但不得不承认祖龙是有大魄力的人，书同文车同轨，统一度量衡，修驰道建长城，确立郡县制，哪一样不是牛逼轰轰的大事！,528,0.990829138,非常积极
七国挖矿真君,2020/8/27 6:00,"看纪录片 秦代还出现过 类似现代的三菱军刺的羽箭头，穿透性强，放血快，还有类似现代的高速公路 不过跑的是马车（类似把松软的土做成压缩饼干 机场跑道同理）

古人在某些方面不是他们NB  而是基操 
就像他们看现代人这些科技也觉得 NB",1495,0.993164143,非常积极
sapphirus蓝宝石,2020/8/26 23:33,借个楼，王骁大大能说一说如果中日韩自贸区真的成立能对世界经济造成什么样的冲击嘛，我在海外网上看到的大部分亲中派一直在努力推行，亲美倒是一直阻止，有了海上陆上一带一路，自贸区的成立有又带来什么呀,2996,0.999965025,非常积极
清风霽月,2020/8/26 23:56,应该是中日韩自贸区成立的话，贸易额就超过了美国，到时候谁制裁谁，还不一定呢。,912,0.723465774,较为积极
Sunset_Velvet,2020/8/27 0:07,成立自贸区，亚洲将成为世界中心，亚洲中心在中国，中国当场成为地球位面之子,657,0.999918528,非常积极
leexpjojo,2020/8/27 2:07,回复 @清风霽月 :是中国有人有市场。日本有高端技术材料。汽车。韩国么半导体。其实中日就行了。离得近。习惯中日韩,56,0.946626896,非常积极
楠木楠羽,2020/8/26 23:41,实话确实是实话，比那些网上的神言论好多了。感谢UP普及的地缘政治知识。很多人连中国地图和自家那一片都没认清，还好为人师的张口闭口教别人政治的人看看这样的视频才是真道理。感觉只要沾边一点政治，就很难保齐一条心。各方利益者统筹起来就很艰难。   庙小妖风大，池浅王八多。     小国的人最哀叹一件事，那就是大国真的碾压自己，不好好的站队，那真的判断失误百姓之灾。,1469,0.999999988,非常积极
寻觅的梦想,2020/8/27 8:20,连人都不可能是一面的，何况国家这个利益集合体。,36,0.592582768,中立
物之情性之灵,2020/8/27 19:59,互联网给林林总总良莠不齐的人提供了发声渠道，降低了交流成本，促进了多元思维融合，但副作用也很明显，随便一个没水平的跳梁小丑都可以大放厥词。他们的言论里都是些空洞无力的从新闻里听来的“伟大光荣正确”的词汇，没有资料佐证，裹挟着“正义”的偏见和独断，认识不到狭隘与无知，把反智当政治正确。面对不同意见不是去找论据反驳，基本就是扣帽子，人身攻讦，丑陋的性格一览无遗，鲁迅先生真是把中国人不堪的一面刺的透透的，看来得去再看看鲁迅文集了。,58,0.9999941,非常积极
幽岚碧泉,2020/8/27 22:26,回复 @物之情在物之不齐 :你说的这不堪的一面，其实放到全世界都一样，人性如此而已，只不过，即有先师已经指出，我们时时自省自身总是好事。,18,0.984615796,非常积极
s_leigh,2020/8/26 23:56,观评论区有感，一个个都在说什么利益啦感情啦朋友啦，说的你真的对这个国家有感情，在这个国家有朋友似的。中巴有同样的利益诉求，政治层面宣传友好很正常，国家又没逼着你跟他们进行民间交流，真正该合作的工程项目不都是国家在做吗？一些人非得在需要宣传国际间友好互助的时候摆出一副高贵脸，嘴上喊几句“没有共同的朋友，只有共同的利益”blabla，就你懂？所有人心知肚明的事非得出来唱反调显得自己多遗世独立似的，是不是ky，你要是在正式公开的场合说这话是不是欠打？,5447,0.999999916,非常积极
油炸硅基仓鼠球,2020/8/27 0:13,只要是跟中国关系不错的国家就会有一堆人这么说～你都不知道他是故意出来抖机灵显得自己独醒～还是纯故意,721,0.764404417,较为积极
星辰耀龙,2020/8/27 1:21,回复 @水无月Beilling :就是瞎刷装13的,88,0.079919266,非常消极
告白前的橙子皮,2020/8/26 23:17,咋感觉大叔了很多,1186,0.917855138,非常积极
回家吧杰洛,2020/8/26 23:18,婚后老男人,218,0.625039102,较为积极
Alexh230,2020/8/26 23:22,你不知道他自称阿伯？,91,0.165156084,非常消极
告白前的橙子皮,2020/8/26 23:25,回复 @国际交流会Panda :哈哈哈，阿伯，albert的谐音梗吗哈哈。,82,0.959325931,非常积极
特X型反应装甲,2020/8/26 23:39,"说实话，哪怕巴基斯坦内部分裂，对于中国来说都是绝对的有利可图
毕竟巴基斯坦最大的敌人是印度，一切的要求和合纵连横都是为了和印度对垒为前提的
至于很多人担心的利益不均和可能的背叛问题，其实大可放心
要被背叛的前提是印度死无葬身之地（否则巴基斯坦自保都非常困难）
如果今后巴基斯坦一定会背叛，但前提是印度会灰飞烟灭
在座的各位可以自己思考下，这个生意是划算还是不划算.jpg",1201,1,非常积极
SDASDD10,2020/8/27 0:54,你就不怕这两亿人变成难民潮到处跑吗,82,0.320137834,较为消极
特X型反应装甲,2020/8/27 1:07,"回复 @SDASDD10 :比起难民潮不更应该担心印度这片地区相互用核武器MAD么
难民潮是基本不可能出现的，因为那样的话整个中亚地区大可以躺平等死，顺带把印度也给弄炸了
到时候怎么会才两亿难民哦
再加上中亚这地方的地理环境，集体性的自然淘汰恐怕才是最优可能发生的事情",78,0.999064058,非常积极
shaaark7ii,2020/8/27 2:00,回复 @SDASDD10 :一堆难民能穿越昆仑山来嚯嚯中国吗？真的扯淡,50,0.030327113,非常消极
湮没碎片,2020/8/26 23:21,只要印度还比巴基斯坦强，就还能铁,1185,0.990017707,非常积极
策电飞霆,2020/8/26 23:27,要让巴铁不铁，印度至少要碎成七块,63,0.942582828,非常积极
宫申伊,2020/8/27 1:39,每天都能收获不少黑名单人员,2,0.173928955,非常消极
Zzzz717,2020/8/27 4:01,咋还拉黑啊,2,0.192712344,非常消极
白钰舒,2020/8/26 23:24,"国与国之间，没有永恒的朋友,只有永恒的利益。——初中历史九年级下第16课。",3539,0.999933132,非常积极
卫凌玥,2020/8/27 0:00,高中政治必修二第二单元专门有一课来解释，标题就是国家利益至上。,475,0.442922363,中立
斧頭,2020/8/27 3:14,"我的课本是19年12月印刷的。。。找了半天没找到。。。
如果是丘吉尔的话，我看到的只有“铁幕演说”。
算了不找了，碎觉了
有同志找到了可以踹我一脚，顺便说一下多少页哪个地方吗
感激不尽",98,0.000264766,非常消极
差不多是废柴了,2020/8/27 6:49,回复 @卫凌玥 :国家利益是国际关系的决定性因素,23,0.992451355,非常积极
射击猎半藏,2020/8/26 23:39,"说加快“某某”进程的部分其实有点鹰酱思维了。
好的事情不单要结果好，过程也得好。
不干涉内政这个原则不能随便越过的。
可以让他们找我们，但是我们不能主动去找他们。",1034,0.790956581,较为积极
大萌叔,2020/8/27 0:18,根据对方的需要提供帮助和按照自己的意愿改造对方是两码事。,74,0.594094254,中立
李叁月,2020/8/27 1:53,的确是   up也说了   在人家需要的前提下给予适当的援助  这种做法和鹰酱还是有很大差别的   毕竟随意干涉别国内政和在对方需要的时候拉一把是两码事,160,0.990999809,非常积极
村夫OG雷,2020/8/27 6:50,对啊，这些人被西化了，别忘了中国是社会主义国家，中国最高的政治纲领就是马克思主义，而他的实质世界放全人类,31,0.999967324,非常积极
江中明月,2020/8/26 23:27,中巴可不是亲兄弟，可以说是朋友，或者说是利益伙伴,116,0.436095896,中立
许范嘉,2020/8/27 6:14,国家之间哪有亲兄弟，最多利益捆绑而已,8,0.937175547,非常积极
唐-纳-德jcw,2020/8/27 9:35,"“巴铁”是个好理解的宣传词汇，直接跟你讲国际关系利益往来，没有多少人完全懂，说巴铁你就懂了，中国和那个叫巴基斯坦的国家关系不错，省事儿效果好。
“没有永远的朋友只有永远的利益”这句话听烦了，正常成年人都应该知道的道理非要拿出来强调显得自己很清醒。",27,0.999998475,非常积极
在银河上飞翔的白天鹅,2020/8/31 18:48,回复 @许范嘉 :同一个主体民族两个政权还是可以的:美国跟英国，俄罗斯跟白俄罗斯,0,0.998971132,非常积极
游客A186,2020/8/26 23:32,结论怎么有点妄图干涉内政的意思 怪怪的,1563,0.682549555,较为积极
雨里雨里,2020/8/26 23:52,巴基斯坦请求我们帮助 不是我们主动要求去的,415,0.642646311,较为积极
Sakura爱你哟,2020/8/27 0:48,回复 @雨里雨里 :黎巴嫩部分人民请求法国代理他们国家，并不代表全黎巴嫩人民的想法,21,0.98432528,非常积极
青鹭bili,2020/8/27 13:22,"不谈政治，说件民间的事吧。
我在意大利的一个小城游玩的时候，去一家小店买了个kebab吃，里面的老板问我们是不是中国人，我们肯定了之后，他突然兴奋了起来，说他自己是巴基斯坦人。那样的神情，感觉像是在异乡偶然见到了很多年没见的老朋友一样。
我想，不管政治上是怎么样，巴基斯坦人对中国人始终是有一份特殊情感的吧。",124,0.999999417,非常积极
谎絆眼,2023/8/31 11:28,结果从2021年开始，很多巴基斯坦种族恐怖分子就开始袭击中国人了？,0,0.997748038,非常积极
青鹭bili,2023/8/31 13:18,回复 @谎絆眼 :所以那是种族恐怖分子,1,0.783426819,较为积极
无籁的无奈,2020/8/26 23:18,相互利益一致的时候 情深似海,1094,0.990872972,非常积极
87372437,2020/8/27 0:03,美帝和我们最大贸易伙伴呢！人家和你情深了吗？台湾主要靠大陆生意的收入他和你情深了吗？日本韩国也是中国最大的贸易伙伴，美国对中国宣战他们立马能与中国宣战！情在哪里？？？,335,0.997777313,非常积极
代-W,2020/8/27 0:31,"回复 @87372437 :舔美 舔台 舔日 哈韩的前几年这么多。情不就在这吗？
我是认为这个情说的是我们的情，当初叫人老大哥结果转脸就叫人苏修。咱们很实在的。",239,0.73594151,较为积极
光铭不用果,2020/8/27 0:32,回复 @87372437 :国与国之间关系本来就是看利益的,27,0.555659206,中立
上官萧安,2020/8/27 3:36,我呢，刚高中毕业，准备上大学，我想说说我的看法。首先，我也希望中巴是真正的兄弟，但是的确不是真正的。就像上世纪中苏关系，铁吗？太铁了，核弹都敢教，但是因为中苏是兄弟就教核技术乃至个个方面无死角的关怀吗？我觉不是的，是因为当时要对抗美国，是因为中国若对苏联造不成威胁。我觉得现在中巴也是这种关系，要是有一天巴基斯坦强大了，投向美国了，那他会不会成为下一个印度呢。其实我觉得国际上只有一句话是永远不变的，没有永远的朋友，只有永远的利益,126,0.999999864,非常积极
账号已注销,2020/8/27 7:10,你要是明白什么叫共产主义精神和苏修，当时苏联全方位的帮助中国还真就是为了共产主义精神，只不过后来苏联放弃了共产主义精神和理想，变成了一个以俄罗斯利益为主的红色帝国罢了。,69,0.999997695,非常积极
戒不掉白日梦,2020/8/27 11:35,如果你将来大学里有巴基斯坦人，最后不要轻信他们，和他们交朋友。留学生尽量远离就好。,12,0.999465953,非常积极
上官萧安,2020/8/27 20:38,回复 @40230290535_bili :不懂就问，苏修是什么意思啊,0,0.031408334,非常消极
消耗6银币改名,2020/8/26 23:42,最后说的太理想化，小心惹得一身骚。不该抖机灵别抖，小心有人断章取义。,1111,0.058850657,非常消极
芒熊本熊,2020/8/27 0:06,最后真的是。。。一言难尽。。。个人觉得最好别帮。主动帮了涉嫌干预他国内政。应邀帮了，帮不好怕不是也一身骚。。,218,0.668318212,较为积极
章臣,2020/8/27 1:36,我们不干涉他国内政，但是在一些涉及其国内无法解决，且需要国际社会调节和帮助的时候，中方会尽最大可能给予相关可行性意见及人道主义援助，以维护和谐有序的国际秩序，促进国家地区间的安全与稳定，推动国际社会的友好交流与和平发展。,115,0.999997947,非常积极
ヴィエルリットソース,2020/8/27 2:40,回复 @芒熊本熊 :早就帮了，第三次印巴战争打到后面，要不是中国给印度压力，巴基斯坦得输的不知道多惨。哪次印巴战争中国不卖武器给巴基斯坦？,21,0.999998105,非常积极
次元墙总是那么遥远,2020/8/27 3:22,巴铁铁不铁我不知道，我只知道评论区人均政治大神，我想的就很简单了，国家跟谁亲我就跟谁好,110,0.988283381,非常积极
大家乔四爷巨无聊,2021/3/3 16:20,没错,0,0.389973541,较为消极
我没带盐,2022/6/21 11:43,一样,0,0.526232782,中立
速溶哟,2020/8/26 23:27,不铁也要“铁”，这个是重要的国家战略，当今世界，有哪个国家是真正的铁，都是利益促进而成的,888,0.999901802,非常积极
BOOM刀锋战士,2020/8/26 23:52,听过美日很铁。,13,0.91349188,非常积极
钢铁轰鸣,2020/8/26 23:56,阿尔巴尼亚真是我国外交史上的一个教训,91,0.930098461,非常积极
又闻_,2020/8/27 8:53,回复 @祝所有up都有一副好肝 :这，怎么回事，不太了解,1,0.722829096,较为积极
翔lin云,2020/8/27 1:56,外交上的场面话，居然有人当真，我是没想到的，怪不得美国说一切为了自由民主也会有那么多人信,154,0.237891591,较为消极
耶律阿保机071,2020/8/27 10:07,哈哈,2,0.526232782,中立
应该人,2020/8/28 4:26,还挺对这么一想就没毛病了。,2,0.722096121,较为积极
吃清淡点吧,2021/6/12 9:23,毕竟人多  出些傻子也正常  喷醒他们就还有救   不喷醒他们别人枪抵他脑门上还巴铁呢,1,0.992604068,非常积极
红烧清蒸酱爆醋溜,2020/8/26 23:50,不管巴铁铁不铁，国家关系其实和人一样，救急不救穷。只要不把美国按下去，中国对巴基斯坦只能接济而已。只要中国的国际地位和话语权超不过欧美，就不说回头CIA整活搞个政变啥的把你投资都给充公，就算你投资成功了，巴基斯坦人民站起来了，他们也能说你是在经济殖民。,292,0.999999919,非常积极
战术空降,2020/8/27 9:19,不干涉他国内政其实只是政治手段，不是祖训啊，真就学明朝祖训治国不前进么，支持战争地区武器禁运条例的是五常，结果在战区只能五常卖武器，国与国之间没有什么是绝对的，一切的手段都是为了国家利益，苏联做不成不代表我们不行，中国想提高国际地位就得拉小弟，美国就有世界最多的小弟团，干啥都一堆小弟后边壮声势，联合国军一出马除了中苏就没谁敢说个不字，我们整天发钱就拉了一堆墙头草，不如教他们如何发展（社会进步），有共同发展方向才不会轻易被资本势力拉拢。,80,0.999997715,非常积极
野鹤菌,2023/1/27 1:22,是清朝,0,0.944444444,非常积极
想想樱川九郎会怎么做,2020/8/27 0:06,评论下面都是说不要干涉别人内政云云，问题是如果中巴经济走廊因为巴基斯坦的“三座大山”一再拖延，也会影响我国西部的发展和扶贫，都知道三座大山对人民的压迫，却还在任由“三座大山”压迫巴基斯坦人民，天安门城楼上那句“世界人民大团结外岁“呢,568,0.999999996,非常积极
夜宵红豆,2020/8/27 1:26,对的，我们是信仰共产主义的国家，怎么能到了需要表明我们信仰的时候个个退缩了呢。再说给他们提供一个大的指导思想供其考虑剩下的让他们自己根据的社会状态去调整，算是给个选项，也不算干涉内政。,88,0.99996515,非常积极
怪我咯丨丨,2020/8/27 13:34,不能直接干涉的，我们还没有到那种强大的地步，直接干涉会让别的国家害怕，让他们觉得中国和美国一样，到处打仗的世界警察，暗中呢，咱就不知道了,7,0.962038228,非常积极
我才不是坏东西,2020/8/27 22:45,回复 @星星眨着眼月画问号 :别瞎扯淡,0,0.378533427,较为消极
剑气森森,2020/8/27 1:14,这么多人相信不干涉他国内政啊，不过也确实没当年输出革命的能力了，被废的差不多了。输出革命是历史必然，否则共产主义之于资本主义就像积极抗疫之于群体免疫，太难独善其身了。,123,0.999998825,非常积极
高翰文,2020/8/27 12:41,有时候得考虑他们其中一方变强了会发生什么，比如越南就是个教训,8,0.768706155,较为积极
极北之森的乌洛波洛斯,2020/8/27 16:45,回复 @我是金花啊 :越南是南越、美没有持续影响，巴基斯坦……印度的存在目前很稳定,2,0.999521763,非常积极
唆鳖司机,2020/8/28 2:53,回复 @我是金花啊 :一个不听话的红色越南总好过反共的白色波兰或者乌克兰，最起码意识形态不敌对。,5,0.773822301,较为积极
DrHHB,2020/8/26 23:20,印度不分裂，他敢不铁？,354,0.231660762,较为消极
海底有鲸鱼QAQ,2020/8/27 9:01,印巴矛盾由于宗教问题是难以调和的，毕竟两国宗教你应该也懂，而印度又比巴铁强，所以巴铁需要大国的帮助与印度抗衡，巴铁背叛的前提是别国能付出更多去搞印度，不然巴铁基本是不会光明正大搞事情的,7,1,非常积极
DDKV2,2020/8/27 10:25,毕竟两边关系反复过好几次。老巴中间找过苏联，找过老美，试图平衡中国的影响力，但是最终发现，两家都把自己的位置放在远低于印度的层面上，这才死了心,42,0.999927843,非常积极
今屿为心,2023/2/17 23:52,回复 @DDKV2 :因为他们的潜力的确远远不如印度,0,0.852345285,非常积极
站在遠处看童年,2020/8/27 9:16,共产主义的目的就是为了解放全人类吧，穷则独善其身，达则兼济天下，古人早就给我们说明白了，现在我们的能力上去了，邻居家里有困难，需要我们帮助，我们帮助一下也是可以的，毕竟强国不仅仅需要靠发展，也需要拓展影响力啊，自家家门口不弄稳固肯定是不行的。,62,0.999999997,非常积极
吸尘器ex,2023/6/10 20:01,看满离，翻了这么久终于翻到个还记得英特纳雄耐尔目标的兄弟了,0,0.816775217,非常积极
花枪大叔,2020/8/27 0:14,说是有“干涉内政”的嫌疑，但欧美bb得还少吗？听蝲蝲蛄叫还不种地了？,473,0.498149436,中立
调理劳务系高材笙,2020/8/27 4:54,人家想骂你说话不算话，你就不能学美国做个无赖，说一套做一套吗？反正别人骂你又不是一天两天了，你就当放屁呗。,13,0.197202147,非常消极
weiqijun,2020/8/27 9:37,就好像刘备和曹操，不管内在原因如何，当初所声讨曹操的罪行作为刘备你就永远不能碰,2,0.999522732,非常积极
滑稽护体警告,2020/8/27 10:02,巴基斯坦这种情况，只能内部大革命，改革不可能干的过利益集团。,2,0.483568579,中立
那顽石,2020/8/27 6:59,非常不喜欢巴铁这称呼,85,0.857245903,非常积极
小k不要停,2020/8/27 8:13,巴勒斯坦哭了,4,0.682611822,较为积极
UPXIM卅十士,2020/8/27 9:23,讲个笑话我一直以为巴铁是指一条铁路hhh,7,0.101330027,非常消极
GY观世,2021/5/27 21:16,回复 @小k不要停 :巴西？,0,0.90273822,非常积极
逍遥天下游,2020/8/26 23:19,巴基斯坦感觉太不靠谱了，国内还有不小的恐怖份子势力，让他掌握核武器太危险,939,0.055266017,非常消极
英特倷雄耐尔,2020/8/26 23:34,"想多了，任何国家掌握核武都是至少经过5常之一的默许才行。
巴基斯坦是为了平衡印度才给的核武，五常默许，因是中国的小弟，所以由中国给予。
当初卡大佐将这事捅到联合国，让五常的面子不好看因为这事是默契，大家都这么干，但是说出来大家都不能好好玩了",788,0.954619618,非常积极
顺其自然gsh,2020/8/26 23:53,回复 @英特尔雄耐尔 :所以卡大佐，gg了，得罪五常，还活什么,46,0.090942357,非常消极
爷爷泡的茶不太好,2020/8/26 23:20,铁不铁再说，解放军的大炮倒是很铁,73,0.837786059,非常积极
洗j精,2020/8/27 1:27,你为什么干不过一楼,0,0.128066546,非常消极
侧颜控_诗,2020/8/27 7:27,虽然道理都懂，可类似内容视频底下一群人总在刷“国与国之间只有利益”，总感觉哪儿怪怪的。不得不让人想起来某些群体最爱讲的论调“应该反思为什么全世界都针对你”、“你看看跟你友好的都是些什么国家”。两厢结合之下不得不让人怀疑动不动就刷这个的人的动机，,344,0.985578173,非常积极
FFF-scxl时纯小刘,2020/8/27 7:46,他们喜欢当理中客唱反调，那时候你就吹他就行,37,0.710462668,较为积极
MIBN,2020/8/27 8:15,0202了还有反思怪,19,0.736699363,较为积极
侧颜控_诗,2020/8/27 8:27,回复 @MIBN :可太多了我们越是被人针对，这种论调就越高调,15,0.059600574,非常消极
琴棋诗画书酒花,2020/8/26 23:36,最后说的太刺刀见红了，我们是不干涉别国内政的，他们承接点我们的转移产业，建几个血汗工厂其实也挺好的，别的就算了吧，管不了。时常在想，要是没有中国，巴基斯坦该怎么办啊，太乱了。,92,0.959830474,非常积极
Sherry-AH,2020/8/27 2:53,王骁意思是就像当年共产国际帮我们一样，不是学美国,34,0.982524494,非常积极
八拾贰,2020/8/27 0:59,如果巴基斯坦走社了并且发展起来了，那无疑是一击响亮的耳光抽在西方资本主义的脸上，说不定又能掀起一股全球赤潮，那中国的国际关系说不定就盘货了呢,15,0.890524344,非常积极
醉青阳,2020/8/27 8:03,回复 @此世之仁 :大概就是愿意学，我们就交，但是不强迫不主动，不军事威胁，还是以经济贸易和援助为主，当初对周边国家都是这一套，可惜一个都没撑住，全和美跑了，但是咱们也没直接出兵干涉，这就可以看出来，我们输出思想，但不支持搞分裂，也不出兵，只是在经济上支持一个合法的亲中政党，有点像苏联和我国开始的关系，有支持，但不控制，毕竟我们受过苏联后期的苦，所以对控制这一套是不喜欢的。,12,0.999976143,非常积极
杜梨Dully,2020/8/27 1:05,一群刚看完科普的键政大师急着在评论区里教国家做事,528,0.989661909,非常积极
封不觉嘿嘿嘿,2020/8/27 7:42,宪法赋予中国人参政议政的权力，说错一点也没事，起码开口了,108,0.8603605,非常积极
泥卤兜大水牛,2020/8/27 2:06,真是愚蠢，你不发声，“别人”就会替你出声。你这么想省力气，应该去看流量明星，中国几百亿水军大都在那，不需要你亲自发弹幕和留言,86,0.744914188,较为积极
杜梨Dully,2020/8/27 9:17,重点不是能不能，而是为什么张口就来，懒到不肯更多找些资料，就急着发表意见，这和让小学生做高中题有什么区别？不是不能发表意见，而是张口就是暴论，什么帮着统一印度和吞并巴基斯坦，连常识都没有就来宣泄情绪？,80,0.182411768,非常消极
屈年伯起自矜,2020/8/27 3:53,中国古代王朝强的时候一堆附属国，弱的时候各种五胡乱华，谈什么朋友有比自己拳头铁实在的。,56,0.994588483,非常积极
GY观世,2021/5/27 21:18,晋：别骂了别骂了,1,0.393362775,较为消极
嘉然今天吃拉康,2020/8/27 1:05,全世界无产阶级需要联合起来的，联合无产阶级是干涉内政吗？,355,0.897816454,非常积极
Sherry-AH,2020/8/27 2:54,对，王骁意思是就像当年共产国际帮我们一样，不是学美国,86,0.982524494,非常积极
嘉然今天吃拉康,2020/8/27 8:28,回复 @夜汤圆 :共产主义革命不同于其他革命，共产主义革命是无产阶级向压迫他们的资产阶级做斗争，然后实行无产阶级专政，达到社会主义社会的高度，这是社会的进步,60,0.998066321,非常积极
嘉然今天吃拉康,2020/8/27 10:21,回复 @哦哈罗 :资助啥呀，目的是宣传思想，让人民自我觉醒,14,0.883614928,非常积极
cs_holder,2020/8/27 1:50,还需要多铁啊，难不成像日本韩国那样给美国当狗才算铁？国家之间讲利益的，巴基斯坦这样可以了。,83,0.947450564,非常积极
大家乔四爷巨无聊,2021/3/3 16:19,终于碰到一个懂事的人。巴基斯坦确实帮助了中国很多,6,0.979249333,非常积极
璃间雪-kroe,2022/7/2 19:39,那不是铁，是当狗,2,0.50084147,中立
我想你不懂我,2020/8/26 23:17,没有永远的朋友，只有永远的利益,3741,0.894942517,非常积极
南极鲻鱼,2020/8/26 23:20,巴铁可以让中国不通过马六甲海峡抵达印度洋，对于中国来说战略位置极其重要，这大大缩短了从中国到印度洋的距离,879,0.999950019,非常积极
若草菜叶的青梅竹马,2020/8/26 23:21,至少他们民间不是那么反华。这点是值得肯定的。,366,0.881603085,非常积极
账号已注销,2020/8/26 23:20,高中政治讲过，一切都是因为国家利益。,95,0.978522976,非常积极
看橘猫化缘,2020/8/27 9:55,弹幕里越来越奇怪了，和美国谈感情，和巴基斯坦谈利益，看来美国在中国的宣传投的钱越来越多了！,225,0.968952665,非常积极
Lion_Ray,2020/8/27 14:48,和美国、日本谈感情的多得很，我简直要笑出声来。,34,0.887552281,非常积极
应该人,2020/8/28 4:28,回复 @Lion_Ray :我觉得日本是中国的仇人，美国是全人类的仇人。,17,0.97072524,非常积极
寒憬,2020/8/27 10:04,我倒是认为这是漂亮国有点忽悠不住中国人，开始启用预备队了,16,0.55945538,中立
第三帝国少将,2020/8/27 3:13,我这种普通网民的视角也不知道现在是不是到了干涉的时候，但是共产党是有解放全世界这个天职的，以及就许漂亮国全球搞事布局，不允许中国拉一把自己的朋友？至于说国际影响。。。看看海对面，国际影响最大的来源于还是实力啊。,49,0.997639277,非常积极
固化剂得到,2020/8/28 0:20,肯定没到，中巴中国贸易顺差一百多亿，你去干涉还可能贸易逆差不说，到时候中巴经济走廊还会被巴基斯坦的爱国主义者破坏，中国只要不考虑当殖民主义的帝国就别考虑干涉别国内政，豪强和平民谁上台对中国有影响么？还不是只能和中国做生意,3,0.996740303,非常积极
沉默无言159,2023/1/25 0:59,谁给你授权的，是想接着走苏联的老路啦,0,0.528654364,中立
Esson_H,2022/4/10 17:44,当初某些人老是说骁哥夹带私货，现在好了，肝帝、科工力量越来越水，王骁直接走了，对我来说就剩亚洲特快可以看了这期视频就明显夹带些许私货，但观点鲜明，证据有力，这都有人骂，那如果都说的是大众认识的东西那还有什么好说的不就像其他节目一样拉了吗...,49,0.999934575,非常积极
几经-南墙,2022/4/11 0:58,肝帝量大，有时候还是不错的会输出,0,0.918993477,非常积极
毒葯蜜糖,2022/4/10 17:48,肝帝还算好吧，隔一段时间爆发一下，科工嘛,0,0.82280022,非常积极
一心憧憬N,2020/8/26 23:17,国家之间应该没有完全的友谊，大部分都是利益关系吧？,1045,0.988113856,非常积极
兰色的兔耳朵草,2020/8/26 23:27,"不看利益只看交情是没脑子
不看交情只看利益是没良心
国和国没那么单纯",488,0.347643592,较为消极
い朝田诗乃に,2020/8/26 23:34,"中国一直沿用“伙伴关系”定bai位双边关系du。其名称主要分为：伙伴zhi关系、全面伙伴关系、合作伙伴关系、全面合作伙伴关系、战略伙伴关系、战略合作伙伴关系、全面战略伙伴关系、全面战略合作伙伴关系、全面战略协作伙伴关系等。中国社会科学院当代中国研究所研究员王巧荣表示，上述关系之间的差异并没有明确定义。
战略伙伴关系指在双边或多边国际事务中，在重大国际和地区问题上，相互协调、相互配合、相互支持；全面伙伴关系涉及伙伴国间共同关心的所有问题。
建设性战略合作伙伴关系：美国

战略互惠关系：日本

全面战略协作伙伴关系：俄罗斯

全天候战略合作伙伴关系：巴基斯坦

全面战略合作伙伴关系：越南、巴基斯坦、法国、巴西

全面战略伙伴关系：英国、意大利、西班牙、丹麦、马来西亚、非盟、葡萄牙、南非、白俄罗斯、印度尼西亚、阿根廷、委内瑞拉

全方位战略伙伴关系：德国

战略合作伙伴关系：韩国、埃及、印度、土耳其、斯里兰卡",211,1,非常积极
ailihx7777777,2020/8/26 23:30,人人心知肚明说出来可就太搞人了，不要给我说什么误导小学生之类的,70,0.156154923,非常消极
Mvas12381,2020/8/26 23:30,天下熙熙，皆为利来。天下攘攘，皆为利往,54,0.360059123,较为消极
樱井梦华录,2020/11/17 1:58,外网集体喷中国的时候，不知道拼命帮中国说话的巴基斯坦有没有想过利益啥的,19,0.895533589,非常积极
大家乔四爷巨无聊,2021/3/3 16:17,回复 @樱井梦华录 :就是，就是。别的不敢说，但是现在的中国跟巴基斯坦确实是友好的建交关系。希望朋友们不要被一些视频带跑偏了。,10,0.907007378,非常积极
QAZwhy,2020/8/26 23:39,回复 @无敌的睡了 :史记,4,0.825133025,非常积极
中國南方網友,2020/8/26 23:36,"咋说呢。。。虽然不像某些人说的那么铁。中巴关系也不至于啥也不是吧
咋跳出来这么多利益党。。",210,0.70498779,较为积极
慕和夜,2020/8/27 9:00,多半是中学生装逼（不歧视中学生）以为人人都需要他们来提醒这种浅显的道理，可是他们偏偏除了这一句话又说不出其他更深层次的分析话，到处刷就很令人厌烦。,80,0.156309627,非常消极
东风导弹请签收,2020/8/27 9:07,这是两个国家，更是十几亿人，我们没有多少人懂巴基斯坦的语言，巴基斯坦也没有多少人懂汉语，受过教育的人很少，那么有一句话就很对了，非我族类，其心必异，巴基斯坦几亿人，不是所有人都把中国看做朋友，只是想利用中国，即使有很多巴基斯坦人把中国看做朋友，我们仍然需要担心。,19,0.999999997,非常积极
慕和夜,2020/8/29 0:44,回复 @科幻世界中的魔法师 :幸好从小就不爱说很多话，没留下什么幼稚的言论，不然现在回头想想以前初高中甚至初入大学的想法，真的是幼稚尴尬的很还是得少说话多读书多看报啊。满瓶不响，响起来也会是稳重的声音。,9,0.999758629,非常积极
